area_fips,medhhinc2000,ln_medhhinc2000
36075,36598,10.507748873087632
36077,33444,10.417627677269948
36079,72279,11.188288909524681
36081,42439,10.655823029773595
36083,42905,10.666743648241221
36085,55039,10.915797303837524
36087,67971,11.126836422605564
36089,32356,10.384554754137843
36091,49460,10.808919541075408
36093,41739,10.639191222509986
36095,36585,10.50739359931813
36097,36010,10.49155195664292
36099,37140,10.522449834906697
36101,35479,10.476696251133417
36103,65288,11.086563531149078
36105,36998,10.518619136111335
36107,40266,10.603262719386294
36109,37272,10.525997653496633
36111,42551,10.65845863548799
36113,39198,10.576381004068805
36115,37668,10.536566206629955
36117,44157,10.695506743860696
36119,63582,11.060085690402891
36121,39895,10.59400628174238
36123,34640,10.45276436267637
37001,39168,10.575615365871998
37003,38684,10.563181356836854
37005,29244,10.283429703413207
37007,29849,10.303906617422061
37009,28824,10.26896365242793
37011,30627,10.329637251837125
37013,31066,10.343869252547853
37015,25177,10.133686158324014
37017,26877,10.199026181265689
37019,35888,10.48815825675999
37021,36666,10.50960517412297
37023,35629,10.4809151919697
37025,46140,10.739435531727745
37027,35739,10.483997808467471
37029,39493,10.583878719994873
37031,38344,10.554353340839468
37033,35018,10.463617493986263
37035,40536,10.609945747155745
37037,42851,10.665484260976488
37039,27992,10.239674034047525
37041,30928,10.339417201448112
37043,31397,10.3544676259307
37045,35283,10.471156540519146
37047,26805,10.196343716261637
37049,35966,10.490329326725142
37051,37466,10.531189134021004
37053,40822,10.616976430753988
37055,42411,10.655163041535141
37057,38640,10.562043288326453
37059,40174,10.600975299194493
37061,29890,10.305279255277984
37063,43337,10.676762052574546
37065,30983,10.34119394595131
37067,42097,10.647731758224072
37069,38968,10.570496075486378
37071,39482,10.583600150825614
37073,35647,10.481420270828858
37075,26645,10.190356794730883
37077,39965,10.595759350060119
37079,32074,10.375801012068754
37081,42618,10.660031978225865
37083,26459,10.183351644059842
37085,35105,10.466098849451349
37087,33922,10.431819050431784
37089,38109,10.54820575369157
37091,26422,10.181952275438299
37093,33230,10.41120836134864
37095,28444,10.25569252100341
37097,41920,10.643518318994923
37099,32552,10.390594089681526
37101,40872,10.618200511010635
37103,30882,10.33792876888081
37105,38900,10.568749529606537
37107,31191,10.34788487064608
37109,41421,10.631543277584262
37111,32396,10.38579023736888
37113,32139,10.377825524930667
37115,30985,10.341258495396207
37117,28793,10.267887581025693
